27120560,0.15,0.10,0.96,-1.46,0.71,0.92,28.01
27140560,0.15,0.10,0.96,-1.43,0.67,0.83,28.01
27160560,0.15,0.10,0.96,-1.40,0.74,0.90,27.92
27180560,0.15,0.10,0.96,-1.38,0.66,1.00,27.97
27200564,0.15,0.10,0.95,-1.42,0.72,0.86,28.01
27220560,0.15,0.10,0.96,-1.45,0.73,0.88,28.06
27240560,0.15,0.10,0.95,-1.39,0.66,0.92,28.01
27260560,0.15,0.10,0.95,-1.45,0.72,0.90,28.11
27280560,0.15,0.10,0.96,-1.45,0.68,0.91,27.97
27300560,0.15,0.10,0.96,-1.45,0.65,0.92,27.97
27320560,0.15,0.10,0.96,-1.45,0.70,0.90,28.11
27340564,0.15,0.10,0.97,-1.35,0.73,0.94,28.01
27360560,0.15,0.10,0.96,-1.40,0.74,0.86,27.87
27380560,0.15,0.10,0.96,-1.47,0.73,0.84,28.06
27400560,0.15,0.10,0.96,-1.43,0.70,0.98,28.01
27420560,0.15,0.10,0.97,-1.46,0.69,0.90,28.01
27440560,0.16,0.10,0.96,-1.47,0.69,0.83,27.97
27460560,0.15,0.10,0.97,-1.54,0.66,0.89,28.01
27480560,0.15,0.09,0.95,-1.43,0.73,0.96,27.97
27500560,0.15,0.10,0.96,-1.51,0.76,0.94,28.06
27520560,0.15,0.10,0.96,-1.51,0.70,0.90,28.01
27540560,0.14,0.11,0.96,-1.42,0.69,0.94,28.01
27560560,0.15,0.10,0.96,-1.41,0.74,0.91,27.92
27580560,0.15,0.10,0.96,-1.51,0.66,0.95,27.97
27600560,0.15,0.10,0.97,-1.50,0.62,0.88,28.01
27620560,0.15,0.09,0.96,-1.42,0.68,0.98,28.01
27640560,0.15,0.11,0.96,-1.45,0.68,0.93,28.06
27660560,0.15,0.10,0.96,-1.46,0.62,0.90,27.97
27680560,0.15,0.11,0.96,-1.44,0.76,0.82,28.01
27700560,0.14,0.10,0.97,-1.46,0.65,0.82,27.97
27720560,0.15,0.10,0.96,-1.46,0.64,0.92,27.87
27740560,0.15,0.10,0.96,-1.36,0.71,0.90,28.01
27760560,0.15,0.10,0.95,-1.48,0.68,0.80,28.06
27780560,0.15,0.10,0.95,-1.42,0.68,0.93,27.97
27800560,0.15,0.11,0.96,-1.50,0.68,0.99,27.92
27820560,0.15,0.10,0.96,-1.40,0.69,0.91,27.92
27840560,0.15,0.10,0.96,-1.45,0.64,0.93,28.06
27860560,0.15,0.10,0.95,-1.42,0.73,0.97,28.01
27880560,0.15,0.10,0.97,-1.44,0.62,0.94,28.01
